scope,document,field,precision,recall,f1,levenshtein,TP,FP,FN
document,a1_100228,quantity,1.0,0.75,0.8571428571428571,0.75,3,0,1
document,a1_100228,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_100228,unit,1.0,0.75,0.8571428571428571,0.75,3,0,1
document,a1_100228,eventDescription,0.0,0.0,0.0,0.05988372093023256,0,3,4
document,a1_100228,eventType,0.6666666666666666,0.5,0.5714285714285715,0.7083333333333334,2,1,2
document,a1_100787,quantity,1.0,1.0,1.0,1.0,5,0,0
document,a1_100787,modifier,0.5,0.2,0.28571428571428575,0.36,1,1,4
document,a1_100787,unit,0.8,1.0,0.888888888888889,0.8,4,1,0
document,a1_100787,eventDescription,0.4,0.4,0.4000000000000001,0.602937062937063,2,3,3
document,a1_100787,eventType,1.0,1.0,1.0,1.0,5,0,0
document,a1_10187,quantity,1.0,1.0,1.0,1.0,3,0,0
document,a1_10187,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_10187,unit,1.0,1.0,1.0,1.0,3,0,0
document,a1_10187,eventDescription,1.0,1.0,1.0,1.0,3,0,0
document,a1_10187,eventType,1.0,1.0,1.0,1.0,3,0,0
document,a1_10188,quantity,1.0,1.0,1.0,1.0,8,0,0
document,a1_10188,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_10188,unit,1.0,1.0,1.0,1.0,8,0,0
document,a1_10188,eventDescription,0.5,0.5,0.5,0.7077205882352942,4,4,4
document,a1_10188,eventType,0.875,0.875,0.875,0.9791666666666666,7,1,1
document,a1_104967,quantity,1.0,1.0,1.0,1.0,4,0,0
document,a1_104967,modifier,1.0,1.0,1.0,1.0,1,0,0
document,a1_104967,unit,0.5,0.5,0.5,0.6732142857142858,2,2,2
document,a1_104967,eventDescription,0.25,0.25,0.25,0.4981481481481481,1,3,3
document,a1_104967,eventType,0.5,0.5,0.5,0.9166666666666667,2,2,2
document,a1_11177,quantity,0.75,0.5,0.6,0.5208333333333334,3,1,3
document,a1_11177,modifier,1.0,0.25,0.4,0.25,1,0,3
document,a1_11177,unit,0.5,0.3333333333333333,0.4,0.41904761904761906,2,2,4
document,a1_11177,eventDescription,0.25,0.16666666666666666,0.2,0.29111111111111115,1,3,5
document,a1_11177,eventType,0.5,0.3333333333333333,0.4,0.6111111111111112,2,2,4
document,a1_112852,quantity,1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778,7,0,2
document,a1_112852,modifier,0.0,0.0,0.0,0.0,0,0,3
document,a1_112852,unit,0.5714285714285714,0.4444444444444444,0.5,0.5420168067226891,4,3,5
document,a1_112852,eventDescription,0.0,0.0,0.0,0.22212187619164614,0,7,9
document,a1_112852,eventType,0.2857142857142857,0.2222222222222222,0.25,0.6851851851851852,2,5,7
document,a1_11311,quantity,0.0,0.0,0.0,0.0,0,0,2
document,a1_11311,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_11311,unit,0.0,0.0,0.0,0.0,0,0,2
document,a1_11311,eventDescription,0.0,0.0,0.0,0.0,0,0,2
document,a1_11311,eventType,0.0,0.0,0.0,0.0,0,0,2
document,a1_11315,quantity,0.2857142857142857,0.42857142857142855,0.34285714285714286,0.4758395665958691,6,15,8
document,a1_11315,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_11315,unit,0.2857142857142857,0.42857142857142855,0.34285714285714286,0.3665961199294533,6,15,8
document,a1_11315,eventDescription,0.0,0.0,0.0,0.19427313790058887,0,21,14
document,a1_11315,eventType,0.42857142857142855,0.6428571428571429,0.5142857142857143,0.626984126984127,9,12,5
document,a1_11474,quantity,1.0,1.0,1.0,1.0,11,0,0
document,a1_11474,modifier,0.3333333333333333,0.25,0.28571428571428575,0.35,1,2,3
document,a1_11474,unit,1.0,1.0,1.0,1.0,11,0,0
document,a1_11474,eventDescription,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8952272727272728,9,2,2
document,a1_11474,eventType,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9848484848484849,10,1,1
document,a1_117566,quantity,0.5,1.0,0.6666666666666666,0.5,1,1,0
document,a1_117566,modifier,0.0,0.0,0.0,0.0,0,0,0
document,a1_117566,unit,0.5,1.0,0.6666666666666666,0.5,1,1,0
document,a1_117566,eventDescription,0.0,0.0,0.0,0.08181818181818185,0,2,1
document,a1_117566,eventType,0.5,1.0,0.6666666666666666,0.5,1,1,0
document,a1_12484,quantity,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9553571428571429,6,1,1
document,a1_12484,modifier,1.0,0.3333333333333333,0.5,0.3333333333333333,1,0,2
document,a1_12484,unit,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9411764705882353,6,1,1
document,a1_12484,eventDescription,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7335992937672262,4,3,3
document,a1_12484,eventType,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.880952380952381,2,5,5
document,a1_12758,quantity,1.0,1.0,1.0,1.0,8,0,0
document,a1_12758,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_12758,unit,0.875,0.875,0.875,0.9513888888888888,7,1,1
document,a1_12758,eventDescription,0.125,0.125,0.125,0.5649179037336932,1,7,7
document,a1_12758,eventType,0.375,0.375,0.375,0.8958333333333334,3,5,5
document,a1_13448,quantity,0.5,0.25,0.3333333333333333,0.3545673076923077,2,2,6
document,a1_13448,modifier,0.0,0.0,0.0,0.0,0,0,8
document,a1_13448,unit,0.6666666666666666,0.25,0.36363636363636365,0.3125,2,1,6
document,a1_13448,eventDescription,0.75,0.375,0.5,0.453125,3,1,5
document,a1_13448,eventType,0.0,0.0,0.0,0.4166666666666667,0,4,8
document,a1_13902,quantity,0.75,0.75,0.75,0.8776041666666666,6,2,2
document,a1_13902,modifier,1.0,0.6666666666666666,0.8,0.6666666666666666,2,0,1
document,a1_13902,unit,0.5,0.5,0.5,0.6231894841269842,4,4,4
document,a1_13902,eventDescription,0.125,0.125,0.125,0.31781535532751837,1,7,7
document,a1_13902,eventType,0.0,0.0,0.0,0.8333333333333334,0,8,8
document,a1_14083,quantity,1.0,1.0,1.0,1.0,4,0,0
document,a1_14083,modifier,0.0,0.0,0.0,0.0,0,0,1
document,a1_14083,unit,1.0,1.0,1.0,1.0,4,0,0
document,a1_14083,eventDescription,0.25,0.25,0.25,0.3578901482127288,1,3,3
